id,nombre,ciudad_en_la_muestra,tarea,motivo,direccion_actual,fuente_en_la_muestra
sochradioterapia,Sociedad Chilena de Radioterapia,Santiago,ubicar,"Su página de contacto solo tiene un formulario. Probá el domicilio de la persona jurídica en el Registro de Empresas y Sociedades, o estatutos y actas publicados por la sociedad.",,https://pubmed.ncbi.nlm.nih.gov/39760579/
sim,Sociedad de Investigaciones Médicas (SIM),Temuco,ubicar,Una patente municipal de Temuco confirma la sociedad pero no da dirección. Probá el Registro de Empresas y Sociedades o resoluciones municipales que publiquen el domicilio.,,https://clinicaltrials.gov/search?locStr=Chile&term=Sociedad+de+Investigaciones+Medicas+Ltda+(SIM)
ciec,Centro Internacional de Estudios Clínicos (CIEC),Santiago,ubicar,No se encontró sitio oficial. Probá el registro de prestadores de la Superintendencia de Salud y el Registro de Empresas y Sociedades.,,https://clinicaltrials.gov/search?locStr=Chile&term=Centro+Internacional+de+Estudios+Clínicos+(CIEC)
crchile,Clinical Research Chile SpA,Valdivia,ubicar,Su sitio publica dos números distintos: Beauchef 683 y Beauchef 638 (Valdivia). El registro DEIS del Minsal tiene la 'Clínica Ramis' en Beauchef 683. Confirmá con otra fuente cuál es y si funciona dentro de esa clínica.,,https://clinicaltrials.gov/search?locStr=Chile&term=Clinical+Research+Chile+SpA
itop,Instituto de Terapias Oncológicas Providencia,Providencia,ubicar,"No se encontró sitio oficial. Probá la Superintendencia de Salud, el Registro de Empresas y Sociedades y publicaciones del instituto que den su dirección.",,https://clinicaltrials.gov/search?locStr=Chile&term=Instituto+de+Terapias+Oncologicas+Providencia
hosp-carabineros,Hospital de Carabineros,Santiago,verificar,"El sitio oficial dice Antonio Varas 2500 y el DEIS, Simón Bolívar 2200 (Ñuñoa). ¿Es el mismo recinto con dos accesos, o una de las dos está desactualizada?","Antonio Varas 2500, Ñuñoa (según sitio_oficial)",https://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872016000200009
clinica-santa-maria,Clínica Santa María,Santiago,verificar,"El sitio oficial dice Av. Santa María 0500 y el DEIS, Santa María 410 (Providencia). Confirmá cuál es la del edificio principal.","Avenida Santa María 0500, Providencia (según openstreetmap)",https://pubmed.ncbi.nlm.nih.gov/38320664/
hosp-puerto-montt,Hospital Puerto Montt,Puerto Montt,verificar,"El Servicio de Salud dice Los Aromos 65 y el DEIS, Los Aromos 63. Confirmá el número.","Calle Los Aromos 65, sector Cayenel, Puerto Montt (según sitio_oficial)",https://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0034-98872015000600009
inmunocel,Inmunocel,Santiago,verificar,"Su sitio dice Av. Presidente Kennedy 5488, Vitacura, pero OpenStreetMap pone ese número en otra comuna. Confirmá la comuna con la Superintendencia de Salud u otra fuente oficial.","Avenida Presidente Kennedy 5488, Torre Norte, oficinas 702-703, Vitacura (según sitio_oficial)",https://clinicaltrials.gov/search?locStr=Chile&term=Inmunocel
soc-cirujanos,Sociedad de Cirujanos de Chile,Santiago,verificar,"En la muestra es 'Sociedad de Cirujanos de Chile'; la dirección vino del sitio de la 'Sociedad Chilena de Cirugía'. ¿Es la misma organización con otro nombre? Si no, buscá la dirección de la Sociedad de Cirujanos de Chile.","Román Díaz 205, oficina 401, Providencia (según sitio_oficial)",https://pubmed.ncbi.nlm.nih.gov/39760579/
centro-precision,Centro de Oncología de Precisión,Santiago,verificar,La dirección vino del Centro de Oncología de Precisión de la Universidad Mayor. Confirmá que es el mismo centro de la muestra (mirá la fuente que tenemos).,"Badajoz 130, Edificio Menor, Las Condes (según sitio_oficial)",https://clinicaltrials.gov/study/NCT06890598
